evaluator_only,policy_name,policy_kind,fold,split,aggregation,status,selected_expert,num_samples,num_normal,num_anomaly,num_categories,num_runs,auroc,ap,f1,oracle_auroc,oracle_regret,selection_agreement_with_oracle,estimated_runtime_ms,average_estimated_runtime_ms,tool_calls,average_tool_calls,num_abstained,abstention_rate
True,always_anomalydino,realizable_policy,fold4,test,micro,ok,,6900,1868,5032,15,60,0.510587911882,0.746386174714,0.0487804878049,0.521979353551,0.0113914416684,0.508405797101,473834.258866,68.6716317197,6900,1,0,0
True,always_anomalydino,realizable_policy,fold4,test,macro_category,ok,,6900,1868,5032,15,60,0.603249731308,0.804284528585,0.0387173141699,0.627364143511,0.0241144122026,0.516666666667,473834.258866,68.6716317197,6900,1,0,0
True,always_anomalydino,realizable_policy,fold4,test,macro_run,ok,,6900,1868,5032,15,60,0.63135393738,0.832007831803,0.0345303984507,0.679746652069,0.0483927146894,0.516666666667,473834.258866,68.6716317197,6900,1,0,0
True,always_patchcore,realizable_policy,fold0,test,micro,ok,,6900,1868,5032,15,60,0.513372659093,0.749417016439,0.0612909404329,0.522373299108,0.00900064001525,0.385507246377,371332.644463,53.8163252845,6900,1,0,0
True,always_patchcore,realizable_policy,fold0,test,macro_category,ok,,6900,1868,5032,15,60,0.601209480538,0.800646604727,0.0573823814276,0.623789814855,0.0225803343162,0.383333333333,371332.644463,53.8163252845,6900,1,0,0
True,always_patchcore,realizable_policy,fold0,test,macro_run,ok,,6900,1868,5032,15,60,0.626415682206,0.829253334676,0.0512230451047,0.677933061132,0.0515173789254,0.383333333333,371332.644463,53.8163252845,6900,1,0,0
True,always_patchcore,realizable_policy,fold1,test,micro,ok,,6900,1868,5032,15,60,0.511036965136,0.747745244213,0.0627270988717,0.528047264105,0.0170102989688,0.361449275362,370436.557307,53.6864575807,6900,1,0,0
True,always_patchcore,realizable_policy,fold1,test,macro_category,ok,,6900,1868,5032,15,60,0.611580733173,0.803917904343,0.0560006826137,0.622438105016,0.0108573718434,0.35,370436.557307,53.6864575807,6900,1,0,0
True,always_patchcore,realizable_policy,fold1,test,macro_run,ok,,6900,1868,5032,15,60,0.633078552845,0.830250221083,0.0512917121399,0.693018399989,0.0599398471435,0.35,370436.557307,53.6864575807,6900,1,0,0
True,always_patchcore,realizable_policy,fold2,test,micro,ok,,6900,1868,5032,15,60,0.49963977865,0.743118400458,0.0737082066869,0.518975452181,0.0193356735309,0.360579710145,370646.669104,53.7169085659,6900,1,0,0
True,always_patchcore,realizable_policy,fold2,test,macro_category,ok,,6900,1868,5032,15,60,0.589383695189,0.793163448146,0.067512353375,0.612283251385,0.0228995561961,0.333333333333,370646.669104,53.7169085659,6900,1,0,0
True,always_patchcore,realizable_policy,fold2,test,macro_run,ok,,6900,1868,5032,15,60,0.611125289347,0.820222946493,0.0590772521403,0.672594238137,0.0614689487896,0.333333333333,370646.669104,53.7169085659,6900,1,0,0
True,always_patchcore,realizable_policy,fold3,test,micro,ok,,6900,1868,5032,15,60,0.523807801377,0.750636847695,0.0660557464681,0.539480834437,0.0156730330595,0.395652173913,370562.175956,53.704663182,6900,1,0,0
True,always_patchcore,realizable_policy,fold3,test,macro_category,ok,,6900,1868,5032,15,60,0.61117354226,0.805486934971,0.0592183985861,0.621449591158,0.0102760488986,0.4,370562.175956,53.704663182,6900,1,0,0
True,always_patchcore,realizable_policy,fold3,test,macro_run,ok,,6900,1868,5032,15,60,0.630901908636,0.8287332916,0.0553109537253,0.676770821788,0.0458689131518,0.4,370562.175956,53.704663182,6900,1,0,0
True,always_patchcore,realizable_policy,fold4,test,micro,ok,,6900,1868,5032,15,60,0.511724321941,0.743817454972,0.0920658682635,0.521979353551,0.0102550316093,0.365072463768,370476.990038,53.6923173968,6900,1,0,0
True,always_patchcore,realizable_policy,fold4,test,macro_category,ok,,6900,1868,5032,15,60,0.602382119261,0.80241789507,0.0736527522935,0.627364143511,0.0249820242497,0.35,370476.990038,53.6923173968,6900,1,0,0
True,always_patchcore,realizable_policy,fold4,test,macro_run,ok,,6900,1868,5032,15,60,0.618364273168,0.827762758939,0.06457236917,0.679746652069,0.0613823789011,0.35,370476.990038,53.6923173968,6900,1,0,0
True,always_winclip,realizable_policy,fold0,test,micro,ok,,6900,1868,5032,15,60,0.480365595946,0.729211006209,0.709032127703,0.522373299108,0.0420077031623,0.0872463768116,528408.692372,76.5809699091,6900,1,0,0
True,always_winclip,realizable_policy,fold0,test,macro_category,ok,,6900,1868,5032,15,60,0.486560099968,0.733736669207,0.700933654305,0.623789814855,0.137229714887,0.0833333333333,528408.692372,76.5809699091,6900,1,0,0
True,always_winclip,realizable_policy,fold0,test,macro_run,ok,,6900,1868,5032,15,60,0.479417403967,0.738213088564,0.66678597877,0.677933061132,0.198515657164,0.0833333333333,528408.692372,76.5809699091,6900,1,0,0
True,always_winclip,realizable_policy,fold1,test,micro,ok,,6900,1868,5032,15,60,0.453222183167,0.721127882493,0.709632709633,0.528047264105,0.0748250809381,0.134492753623,528959.880729,76.6608522796,6900,1,0,0
True,always_winclip,realizable_policy,fold1,test,macro_category,ok,,6900,1868,5032,15,60,0.482285271097,0.73458367757,0.709897880055,0.622438105016,0.140152833919,0.133333333333,528959.880729,76.6608522796,6900,1,0,0
True,always_winclip,realizable_policy,fold1,test,macro_run,ok,,6900,1868,5032,15,60,0.481641110353,0.742174925849,0.686187465668,0.693018399989,0.211377289636,0.133333333333,528959.880729,76.6608522796,6900,1,0,0
True,always_winclip,realizable_policy,fold2,test,micro,ok,,6900,1868,5032,15,60,0.468236051583,0.725282046038,0.712367207857,0.518975452181,0.0507394005985,0.137246376812,528798.380726,76.637446482,6900,1,0,0
True,always_winclip,realizable_policy,fold2,test,macro_category,ok,,6900,1868,5032,15,60,0.490400132208,0.7375125408,0.714465616594,0.612283251385,0.121883119177,0.133333333333,528798.380726,76.637446482,6900,1,0,0
True,always_winclip,realizable_policy,fold2,test,macro_run,ok,,6900,1868,5032,15,60,0.490519136645,0.745843763228,0.688870605473,0.672594238137,0.182075101492,0.133333333333,528798.380726,76.637446482,6900,1,0,0
True,always_winclip,realizable_policy,fold3,test,micro,ok,,6900,1868,5032,15,60,0.470964308086,0.725705158109,0.709269662921,0.539480834437,0.0685165263513,0.138985507246,528409.802445,76.5811307892,6900,1,0,0
True,always_winclip,realizable_policy,fold3,test,macro_category,ok,,6900,1868,5032,15,60,0.492560821138,0.736833687629,0.701959523033,0.621449591158,0.12888877002,0.116666666667,528409.802445,76.5811307892,6900,1,0,0
True,always_winclip,realizable_policy,fold3,test,macro_run,ok,,6900,1868,5032,15,60,0.476442369814,0.737979957914,0.66920011913,0.676770821788,0.200328451974,0.116666666667,528409.802445,76.5811307892,6900,1,0,0
True,always_winclip,realizable_policy,fold4,test,micro,ok,,6900,1868,5032,15,60,0.456150231665,0.721451183483,0.700642054575,0.521979353551,0.0658291218855,0.12652173913,529101.938152,76.6814403119,6900,1,0,0
True,always_winclip,realizable_policy,fold4,test,macro_category,ok,,6900,1868,5032,15,60,0.482504546084,0.734556231372,0.704041307309,0.627364143511,0.144859597427,0.133333333333,529101.938152,76.6814403119,6900,1,0,0
True,always_winclip,realizable_policy,fold4,test,macro_run,ok,,6900,1868,5032,15,60,0.485088272272,0.741365760681,0.681554244209,0.679746652069,0.194658379797,0.133333333333,529101.938152,76.6814403119,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold0,test,micro,ok,AnomalyDINO,6900,1868,5032,15,60,0.512405614772,0.752410167625,0.0403257076386,0.522373299108,0.00996768433631,0.527246376812,473897.377587,68.6807793604,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold0,test,macro_category,ok,AnomalyDINO,6900,1868,5032,15,60,0.602904538629,0.80000977368,0.0364184213113,0.623789814855,0.0208852762256,0.533333333333,473897.377587,68.6807793604,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold0,test,macro_run,ok,AnomalyDINO,6900,1868,5032,15,60,0.636458849272,0.830750391097,0.031747972006,0.677933061132,0.0414742118599,0.533333333333,473897.377587,68.6807793604,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold1,test,micro,ok,AnomalyDINO,6900,1868,5032,15,60,0.507801249732,0.747204485972,0.0319501266316,0.528047264105,0.0202460143731,0.504057971014,474036.767816,68.700980843,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold1,test,macro_category,ok,AnomalyDINO,6900,1868,5032,15,60,0.605284023841,0.79477353954,0.029889621159,0.622438105016,0.0171540811754,0.516666666667,474036.767816,68.700980843,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold1,test,macro_run,ok,AnomalyDINO,6900,1868,5032,15,60,0.6374531002,0.828939363172,0.0280123568675,0.693018399989,0.0555652997894,0.516666666667,474036.767816,68.700980843,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold2,test,micro,ok,AnomalyDINO,6900,1868,5032,15,60,0.497313021076,0.74436032223,0.0338785046729,0.518975452181,0.0216624311047,0.502173913043,473994.728101,68.6948881305,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold2,test,macro_category,ok,AnomalyDINO,6900,1868,5032,15,60,0.589879872478,0.79386923782,0.0332845337614,0.612283251385,0.0224033789071,0.533333333333,473994.728101,68.6948881305,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold2,test,macro_run,ok,AnomalyDINO,6900,1868,5032,15,60,0.630136298893,0.827675025401,0.0298615877808,0.672594238137,0.0424579392441,0.533333333333,473994.728101,68.6948881305,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold3,test,micro,ok,PatchCore,6900,1868,5032,15,60,0.523807801377,0.750636847695,0.0660557464681,0.539480834437,0.0156730330595,0.395652173913,370562.175956,53.704663182,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold3,test,macro_category,ok,PatchCore,6900,1868,5032,15,60,0.61117354226,0.805486934971,0.0592183985861,0.621449591158,0.0102760488986,0.4,370562.175956,53.704663182,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold3,test,macro_run,ok,PatchCore,6900,1868,5032,15,60,0.630901908636,0.8287332916,0.0553109537253,0.676770821788,0.0458689131518,0.4,370562.175956,53.704663182,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold4,test,micro,ok,AnomalyDINO,6900,1868,5032,15,60,0.510587911882,0.746386174714,0.0487804878049,0.521979353551,0.0113914416684,0.508405797101,473834.258866,68.6716317197,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold4,test,macro_category,ok,AnomalyDINO,6900,1868,5032,15,60,0.603249731308,0.804284528585,0.0387173141699,0.627364143511,0.0241144122026,0.516666666667,473834.258866,68.6716317197,6900,1,0,0
True,best_single_expert,evaluator_only_reference,fold4,test,macro_run,ok,AnomalyDINO,6900,1868,5032,15,60,0.63135393738,0.832007831803,0.0345303984507,0.679746652069,0.0483927146894,0.516666666667,473834.258866,68.6716317197,6900,1,0,0
True,category_prior,realizable_policy,fold0,test,micro,ok,,6900,1868,5032,15,60,0.516958170067,0.748999968223,0.11390777145,0.522373299108,0.00541512904137,0.7,453941.116831,65.7885676566,6900,1,0,0
True,category_prior,realizable_policy,fold0,test,macro_category,ok,,6900,1868,5032,15,60,0.612408552651,0.805110083004,0.0790477385702,0.623789814855,0.0113812622037,0.7,453941.116831,65.7885676566,6900,1,0,0
True,category_prior,realizable_policy,fold0,test,macro_run,ok,,6900,1868,5032,15,60,0.647820195981,0.834795437664,0.0687299116657,0.677933061132,0.030112865151,0.7,453941.116831,65.7885676566,6900,1,0,0
True,category_prior,realizable_policy,fold1,test,micro,ok,,6900,1868,5032,15,60,0.514258424882,0.744464001645,0.150483697599,0.528047264105,0.0137888392234,0.654927536232,449124.481168,65.0905045171,6900,1,0,0
True,category_prior,realizable_policy,fold1,test,macro_category,ok,,6900,1868,5032,15,60,0.617015609641,0.802764254591,0.0852556193715,0.622438105016,0.00542249537466,0.65,449124.481168,65.0905045171,6900,1,0,0
True,category_prior,realizable_policy,fold1,test,macro_run,ok,,6900,1868,5032,15,60,0.652639811011,0.834625501519,0.0833763774043,0.693018399989,0.0403785889779,0.65,449124.481168,65.0905045171,6900,1,0,0
True,category_prior,realizable_policy,fold2,test,micro,ok,,6900,1868,5032,15,60,0.50736187756,0.744370831125,0.151531434713,0.518975452181,0.0116135746214,0.586811594203,453853.631365,65.7758886036,6900,1,0,0
True,category_prior,realizable_policy,fold2,test,macro_category,ok,,6900,1868,5032,15,60,0.602092729643,0.800623767378,0.0890753183193,0.612283251385,0.0101905217417,0.6,453853.631365,65.7758886036,6900,1,0,0
True,category_prior,realizable_policy,fold2,test,macro_run,ok,,6900,1868,5032,15,60,0.639780755392,0.831619629404,0.0855516448976,0.672594238137,0.0328134827449,0.6,453853.631365,65.7758886036,6900,1,0,0
True,category_prior,realizable_policy,fold3,test,micro,ok,,6900,1868,5032,15,60,0.521043480185,0.749189673025,0.160227879651,0.539480834437,0.0184373542518,0.640724637681,451470.595926,65.4305211487,6900,1,0,0
True,category_prior,realizable_policy,fold3,test,macro_category,ok,,6900,1868,5032,15,60,0.614183123459,0.808967808894,0.100348840599,0.621449591158,0.00726646769933,0.616666666667,451470.595926,65.4305211487,6900,1,0,0
True,category_prior,realizable_policy,fold3,test,macro_run,ok,,6900,1868,5032,15,60,0.646208153252,0.83337254747,0.0951072896209,0.676770821788,0.0305626685368,0.616666666667,451470.595926,65.4305211487,6900,1,0,0
True,category_prior,realizable_policy,fold4,test,micro,ok,,6900,1868,5032,15,60,0.524421752178,0.7490116834,0.159276339127,0.521979353551,-0.00244239862737,0.633043478261,439712.417549,63.726437326,6900,1,0,0
True,category_prior,realizable_policy,fold4,test,macro_category,ok,,6900,1868,5032,15,60,0.60950866721,0.809300671269,0.102642260617,0.627364143511,0.0178554763012,0.633333333333,439712.417549,63.726437326,6900,1,0,0
True,category_prior,realizable_policy,fold4,test,macro_run,ok,,6900,1868,5032,15,60,0.639642041404,0.834314456676,0.0981365739656,0.679746652069,0.0401046106647,0.633333333333,439712.417549,63.726437326,6900,1,0,0
True,category_shot_prior,realizable_policy,fold0,test,micro,ok,,6900,1868,5032,15,60,0.525739549538,0.757987356246,0.246308724832,0.522373299108,-0.0033662504298,0.751594202899,447441.138264,64.8465417773,6900,1,0,0
True,category_shot_prior,realizable_policy,fold0,test,macro_category,ok,,6900,1868,5032,15,60,0.615780298401,0.811236672722,0.195727336807,0.623789814855,0.00800951645368,0.733333333333,447441.138264,64.8465417773,6900,1,0,0
True,category_shot_prior,realizable_policy,fold0,test,macro_run,ok,,6900,1868,5032,15,60,0.665042251584,0.84558435793,0.122084423077,0.677933061132,0.0128908095481,0.733333333333,447441.138264,64.8465417773,6900,1,0,0
True,category_shot_prior,realizable_policy,fold1,test,micro,ok,,6900,1868,5032,15,60,0.527442568844,0.759348897801,0.247236180905,0.528047264105,0.000604695260823,0.813043478261,452827.030981,65.6271059393,6900,1,0,0
True,category_shot_prior,realizable_policy,fold1,test,macro_category,ok,,6900,1868,5032,15,60,0.625577125842,0.816823413008,0.195490232239,0.622438105016,-0.00313902082605,0.783333333333,452827.030981,65.6271059393,6900,1,0,0
True,category_shot_prior,realizable_policy,fold1,test,macro_run,ok,,6900,1868,5032,15,60,0.685652736566,0.854331863059,0.121990220582,0.693018399989,0.00736566342311,0.783333333333,452827.030981,65.6271059393,6900,1,0,0
True,category_shot_prior,realizable_policy,fold2,test,micro,ok,,6900,1868,5032,15,60,0.513280422853,0.753017763031,0.252339572193,0.518975452181,0.00569502932836,0.647391304348,451835.638887,65.4834259256,6900,1,0,0
True,category_shot_prior,realizable_policy,fold2,test,macro_category,ok,,6900,1868,5032,15,60,0.606841928058,0.807590732927,0.203524651606,0.612283251385,0.00544132332711,0.65,451835.638887,65.4834259256,6900,1,0,0
True,category_shot_prior,realizable_policy,fold2,test,macro_run,ok,,6900,1868,5032,15,60,0.662906685064,0.844049861912,0.12819002714,0.672594238137,0.00968755307299,0.65,451835.638887,65.4834259256,6900,1,0,0
True,category_shot_prior,realizable_policy,fold3,test,micro,ok,,6900,1868,5032,15,60,0.516157831846,0.751662758194,0.212620027435,0.539480834437,0.0233230025907,0.755652173913,446976.955291,64.7792688828,6900,1,0,0
True,category_shot_prior,realizable_policy,fold3,test,macro_category,ok,,6900,1868,5032,15,60,0.608051994763,0.808683100401,0.175180420402,0.621449591158,0.0133975963952,0.733333333333,446976.955291,64.7792688828,6900,1,0,0
True,category_shot_prior,realizable_policy,fold3,test,macro_run,ok,,6900,1868,5032,15,60,0.660350836514,0.842920949255,0.112935038604,0.676770821788,0.0164199852743,0.733333333333,446976.955291,64.7792688828,6900,1,0,0
True,category_shot_prior,realizable_policy,fold4,test,micro,ok,,6900,1868,5032,15,60,0.526170942797,0.758397344882,0.262322196494,0.521979353551,-0.00419158924638,0.667536231884,443852.73496,64.3264833275,6900,1,0,0
True,category_shot_prior,realizable_policy,fold4,test,macro_category,ok,,6900,1868,5032,15,60,0.614279947106,0.814880296799,0.210357273221,0.627364143511,0.013084196405,0.683333333333,443852.73496,64.3264833275,6900,1,0,0
True,category_shot_prior,realizable_policy,fold4,test,macro_run,ok,,6900,1868,5032,15,60,0.669977320217,0.851199834148,0.135913330277,0.679746652069,0.00976933185225,0.683333333333,443852.73496,64.3264833275,6900,1,0,0
True,cost_aware,realizable_policy,fold0,test,micro,ok,,6900,1868,5032,15,60,0.525739549538,0.757987356246,0.246308724832,0.522373299108,-0.0033662504298,0.751594202899,447441.138264,64.8465417773,6900,1,0,0
True,cost_aware,realizable_policy,fold0,test,macro_category,ok,,6900,1868,5032,15,60,0.615780298401,0.811236672722,0.195727336807,0.623789814855,0.00800951645368,0.733333333333,447441.138264,64.8465417773,6900,1,0,0
True,cost_aware,realizable_policy,fold0,test,macro_run,ok,,6900,1868,5032,15,60,0.665042251584,0.84558435793,0.122084423077,0.677933061132,0.0128908095481,0.733333333333,447441.138264,64.8465417773,6900,1,0,0
True,cost_aware,realizable_policy,fold1,test,micro,ok,,6900,1868,5032,15,60,0.527442568844,0.759348897801,0.247236180905,0.528047264105,0.000604695260823,0.813043478261,452827.030981,65.6271059393,6900,1,0,0
True,cost_aware,realizable_policy,fold1,test,macro_category,ok,,6900,1868,5032,15,60,0.625577125842,0.816823413008,0.195490232239,0.622438105016,-0.00313902082605,0.783333333333,452827.030981,65.6271059393,6900,1,0,0
True,cost_aware,realizable_policy,fold1,test,macro_run,ok,,6900,1868,5032,15,60,0.685652736566,0.854331863059,0.121990220582,0.693018399989,0.00736566342311,0.783333333333,452827.030981,65.6271059393,6900,1,0,0
True,cost_aware,realizable_policy,fold2,test,micro,ok,,6900,1868,5032,15,60,0.513280422853,0.753017763031,0.252339572193,0.518975452181,0.00569502932836,0.647391304348,451835.638887,65.4834259256,6900,1,0,0
True,cost_aware,realizable_policy,fold2,test,macro_category,ok,,6900,1868,5032,15,60,0.606841928058,0.807590732927,0.203524651606,0.612283251385,0.00544132332711,0.65,451835.638887,65.4834259256,6900,1,0,0
True,cost_aware,realizable_policy,fold2,test,macro_run,ok,,6900,1868,5032,15,60,0.662906685064,0.844049861912,0.12819002714,0.672594238137,0.00968755307299,0.65,451835.638887,65.4834259256,6900,1,0,0
True,cost_aware,realizable_policy,fold3,test,micro,ok,,6900,1868,5032,15,60,0.516157831846,0.751662758194,0.212620027435,0.539480834437,0.0233230025907,0.755652173913,446976.955291,64.7792688828,6900,1,0,0
True,cost_aware,realizable_policy,fold3,test,macro_category,ok,,6900,1868,5032,15,60,0.608051994763,0.808683100401,0.175180420402,0.621449591158,0.0133975963952,0.733333333333,446976.955291,64.7792688828,6900,1,0,0
True,cost_aware,realizable_policy,fold3,test,macro_run,ok,,6900,1868,5032,15,60,0.660350836514,0.842920949255,0.112935038604,0.676770821788,0.0164199852743,0.733333333333,446976.955291,64.7792688828,6900,1,0,0
True,cost_aware,realizable_policy,fold4,test,micro,ok,,6900,1868,5032,15,60,0.528276844044,0.759422133665,0.262609558459,0.521979353551,-0.00629749049339,0.70231884058,436966.246217,63.3284414808,6900,1,0,0
True,cost_aware,realizable_policy,fold4,test,macro_category,ok,,6900,1868,5032,15,60,0.615398581806,0.815610004067,0.210586289382,0.627364143511,0.0119655617048,0.7,436966.246217,63.3284414808,6900,1,0,0
True,cost_aware,realizable_policy,fold4,test,macro_run,ok,,6900,1868,5032,15,60,0.668042536189,0.850452467795,0.136262893323,0.679746652069,0.0117041158798,0.7,436966.246217,63.3284414808,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold0,test,micro,ok,,6900,1868,5032,15,60,0.520064307915,0.749249649847,0.306771653543,0.522373299108,0.00230899119298,0.743913043478,466878.366538,67.6635313824,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold0,test,macro_category,ok,,6900,1868,5032,15,60,0.606340714309,0.794279111662,0.259175150923,0.623789814855,0.0174491005457,0.75,466878.366538,67.6635313824,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold0,test,macro_run,ok,,6900,1868,5032,15,60,0.656910155701,0.838780436675,0.153079574932,0.677933061132,0.0210229054311,0.75,466878.366538,67.6635313824,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold1,test,micro,ok,,6900,1868,5032,15,60,0.519604828881,0.756689965948,0.184242849623,0.528047264105,0.00844243522399,0.788115942029,444870.944241,64.47404989,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold1,test,macro_category,ok,,6900,1868,5032,15,60,0.630051176686,0.820218410771,0.150510736328,0.622438105016,-0.00761307166947,0.766666666667,444870.944241,64.47404989,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold1,test,macro_run,ok,,6900,1868,5032,15,60,0.683473505115,0.853390316241,0.0970909790642,0.693018399989,0.00954489487373,0.766666666667,444870.944241,64.47404989,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold2,test,micro,ok,,6900,1868,5032,15,60,0.503806260915,0.749735477363,0.196481449225,0.518975452181,0.0151691912658,0.658260869565,447138.345767,64.8026588068,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold2,test,macro_category,ok,,6900,1868,5032,15,60,0.61072528859,0.813112110486,0.178855265415,0.612283251385,0.00155796279481,0.65,447138.345767,64.8026588068,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold2,test,macro_run,ok,,6900,1868,5032,15,60,0.662950596038,0.844854192909,0.115595983819,0.672594238137,0.00964364209822,0.65,447138.345767,64.8026588068,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold3,test,micro,ok,,6900,1868,5032,15,60,0.525521991162,0.755611840423,0.310476190476,0.539480834437,0.0139588432746,0.731304347826,463433.991743,67.1643466294,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold3,test,macro_category,ok,,6900,1868,5032,15,60,0.600280505638,0.799097461259,0.272960084321,0.621449591158,0.0211690855204,0.716666666667,463433.991743,67.1643466294,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold3,test,macro_run,ok,,6900,1868,5032,15,60,0.654444640914,0.839267355599,0.168812062814,0.676770821788,0.0223261808744,0.716666666667,463433.991743,67.1643466294,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold4,test,micro,ok,,6900,1868,5032,15,60,0.527728213949,0.755276537106,0.331666145671,0.521979353551,-0.00574886039838,0.73884057971,463547.122279,67.1807423593,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold4,test,macro_category,ok,,6900,1868,5032,15,60,0.603577559408,0.805822096562,0.282722500154,0.627364143511,0.0237865841023,0.733333333333,463547.122279,67.1807423593,6900,1,0,0
True,decision_tree_metadata,realizable_policy,fold4,test,macro_run,ok,,6900,1868,5032,15,60,0.663636512103,0.847789707505,0.175737204762,0.679746652069,0.0161101399661,0.733333333333,463547.122279,67.1807423593,6900,1,0,0
True,fastest_expert,realizable_policy,fold0,test,micro,ok,,6900,1868,5032,15,60,0.518409694018,0.736645375914,0.13084450888,0.522373299108,0.00396360509016,0.323768115942,370959.413327,53.7622338155,6900,1,0,0
True,fastest_expert,realizable_policy,fold0,test,macro_category,ok,,6900,1868,5032,15,60,0.591902030566,0.793300118963,0.113096201116,0.623789814855,0.0318877842881,0.333333333333,370959.413327,53.7622338155,6900,1,0,0
True,fastest_expert,realizable_policy,fold0,test,macro_run,ok,,6900,1868,5032,15,60,0.614966945411,0.824993799434,0.0895551770194,0.677933061132,0.0629661157213,0.333333333333,370959.413327,53.7622338155,6900,1,0,0
True,fastest_expert,realizable_policy,fold1,test,micro,ok,,6900,1868,5032,15,60,0.510485249861,0.732025978568,0.103047091413,0.528047264105,0.0175620142437,0.288405797101,370034.834647,53.6282369054,6900,1,0,0
True,fastest_expert,realizable_policy,fold1,test,macro_category,ok,,6900,1868,5032,15,60,0.591825633778,0.796119177666,0.0908198948005,0.622438105016,0.0306124712378,0.283333333333,370034.834647,53.6282369054,6900,1,0,0
